NO NO NO NO NO NO NO
112.559998 0.159999847 3.7560481E-4 1.49171728E-5 3.95111216E-4 1.53885753E-6 3.9357238E-4
112.880005 0.159999847 4.04634193E-4 1.54828977E-5 3.952673E-4 1.6987974E-6 3.93568509E-4
113.199997 0.159999847 4.04634193E-4 1.54828977E-5 3.95493029E-4 1.92837774E-6 3.93564667E-4
113.520004 0.159999847 3.8804597E-4 1.51622107E-5 3.95621086E-4 2.06026266E-6 3.93560826E-4
113.839996 0.159999847 3.7797456E-4 1.49641555E-5 3.95527168E-4 1.97015856E-6 3.93557013E-4
114.160004 0.159999847 4.01672034E-4 1.54261215E-5 3.9536765E-4 1.81444796E-6 3.935532E-4
114.479996 0.159999847 3.9278547E-4 1.52545235E-5 3.9524553E-4 1.69614452E-6 3.93549388E-4
114.800003 0.159999847 3.79159435E-4 1.49875923E-5 3.95248237E-4 1.70263809E-6 3.93545604E-4
115.119995 0.159999847 4.01079596E-4 1.54147401E-5 3.95381998E-4 1.84019291E-6 3.93541821E-4
115.440002 0.159999847 3.97524971E-4 1.53462806E-5 3.95522773E-4 1.98471685E-6 3.93538037E-4
115.759995 0.159999847 3.84491344E-4 1.50926062E-5 3.95792216E-4 2.25792223E-6 3.93534283E-4
116.080002 0.159999847 3.99302284E-4 1.53805486E-5 3.96126008E-4 2.59547892E-6 3.93530529E-4
116.399994 0.159999847 4.13520756E-4 1.56519909E-5 3.96928343E-4 3.40155066E-6 3.93526803E-4
116.720001 0.159999847 4.12335881E-4 1.56295519E-5 3.97906668E-4 4.38358984E-6 3.93523078E-4
117.039993 0.159999847 3.91008158E-4 1.52199718E-5 3.9902344E-4 5.5040905E-6 3.93519353E-4
117.360001 0.159999847 4.07596381E-4 1.55394664E-5 3.99525074E-4 6.0094435E-6 3.93515627E-4
117.679993 0.159999847 4.0285688E-4 1.54488571E-5 3.99366021E-4 5.8540918E-6 3.93511931E-4
118 0.160003662 4.1054879E-4 1.55954585E-5 3.99299053E-4 5.79080552E-6 3.93508264E-4
118.300003 0.13999939 4.27232881E-4 1.70078729E-5 3.99767159E-4 6.26236715E-6 3.93504801E-4
118.600006 0.159999847 3.92193033E-4 1.52430148E-5 3.99866811E-4 6.36545519E-6 3.93501366E-4
118.919998 0.159999847 4.08188818E-4 1.55507551E-5 3.9988014E-4 6.38243728E-6 3.93497699E-4
119.240005 0.159999847 3.87453532E-4 1.5150632E-5 4.0002435E-4 6.53030884E-6 3.93494061E-4
119.559998 0.159999847 3.98117409E-4 1.5357713E-5 4.00577614E-4 7.08719972E-6 3.93490423E-4
119.880005 0.159999847 3.98117409E-4 1.5357713E-5 4.01538651E-4 8.05185391E-6 3.93486785E-4
120.18 0.13999939 4.3129531E-4 1.70885432E-5 4.02825128E-4 9.34173386E-6 3.9348338E-4
120.479996 0.159999847 4.12335881E-4 1.56295519E-5 4.05000406E-4 1.1520402E-5 3.93480004E-4
120.779999 0.13999939 4.45513841E-4 1.73679382E-5 4.08552907E-4 1.50762789E-5 3.93476628E-4
121.059998 0.13999939 4.38743125E-4 1.72354576E-5 4.13510104E-4 2.00366248E-5 3.93473485E-4
121.360001 0.159999847 4.26554354E-4 1.58967432E-5 4.20856493E-4 2.73863898E-5 3.93470109E-4
121.660004 0.140003204 4.52272245E-4 1.74989382E-5 4.31988854E-4 3.85220883E-5 3.93466762E-4
121.940002 0.13999939 4.57024085E-4 1.75908644E-5 4.44528123E-4 5.10644713E-5 3.93463648E-4
122.220001 0.13999939 4.71242616E-4 1.7862405E-5 4.48421983E-4 5.49614597E-5 3.93460534E-4
122.5 0.13999939 4.25878738E-4 1.69808973E-5 4.34118061E-4 4.06606487E-5 3.9345742E-4
122.800003 0.159999847 3.95747658E-4 1.53119363E-5 4.11441084E-4 1.79869858E-5 3.93454102E-4
123.119995 0.159999847 3.98709846E-4 1.53691344E-5 3.98023578E-4 4.57301667E-6 3.93450551E-4
123.440002 0.159999847 3.97524971E-4 1.53462806E-5 3.94814939E-4 1.36789856E-6 3.9344703E-4
123.759995 0.159999847 4.04041755E-4 1.54715581E-5 3.94436269E-4 9.92738705E-7 3.93443537E-4
124.080002 0.159999847 3.86861095E-4 1.5139045E-5 3.94589879E-4 9.95492087E-7 3.93594382E-4
124.399994 0.159999847 4.25369479E-4 1.58746479E-5 3.95114359E-4 9.92098535E-7 3.94122268E-4
124.720001 0.159999847 3.71457747E-4 1.48345935E-5 3.95691895E-4 1.02523575E-6 3.94666655E-4
125.039993 0.159999847 4.17075382E-4 1.57191189E-5 3.96247924E-4 1.03752473E-6 3.95210402E-4
125.360001 0.159999847 4.11151006E-4 1.56070782E-5 3.96860618E-4 1.10711449E-6 3.95753479E-4
125.679993 0.159999847 3.96932533E-4 1.5334841E-5 3.97429947E-4 1.13401188E-6 3.96295945E-4
126 0.160003662 3.73818591E-4 1.48814834E-5 3.98033473E-4 1.19569552E-6 3.96837771E-4
126.320007 0.159999847 3.79159435E-4 1.49875923E-5 3.98553762E-4 1.17479112E-6 3.97378957E-4
126.639999 0.159999847 3.8567622E-4 1.51158429E-5 3.99179087E-4 1.25956876E-6 3.97919503E-4
126.940002 0.13999939 4.58378228E-4 1.76169069E-5 3.99676384E-4 1.25068675E-6 3.98425705E-4
127.240005 0.159999847 4.08188818E-4 1.55507551E-5 4.00235294E-4 1.3039662E-6 3.98931326E-4
127.559998 0.159999847 4.05819068E-4 1.55055495E-5 4.00793477E-4 1.32338801E-6 3.99470067E-4
