# Simulated time = 10951.235 sec
# [Center energy]  [Energy bin width]       [Rate]        [Rate error]
#     (keV)              (keV)         (counts/sec/keV)  (counts/sec/keV)
13.62 0.04 0.0045656953007 0.0032284339524
13.66 0.04 0.0045656953007 0.0032284339524
13.7 0.04 0.0045656953007 0.0032284339524
13.74 0.04 0.00684854248539 0.00395400792583
13.78 0.04 0.0 0.0
13.82 0.04 0.874330580235 0.0446762070663
13.86 0.04 0.0 0.0
13.9 0.04 0.0 0.0
13.94 0.04 0.0 0.0
13.98 0.04 0.0 0.0
14.02 0.04 0.00228284765035 0.00228284754035
14.06 0.04 0.0 0.0
14.1 0.04 0.0 0.0
14.14 0.04 0.00228284765035 0.00228284754035
14.18 0.04 0.00228284765035 0.00228284754035
14.22 0.04 0.0045656953007 0.0032284339524
14.26 0.04 0.0 0.0
14.3 0.04 0.00228284765035 0.00228284754035
14.34 0.04 0.0 0.0
14.38 0.04 0.00684854248539 0.00395400792583
14.42 0.04 0.00228284765035 0.00228284754035
14.46 0.04 0.00228284765035 0.00228284754035
14.5 0.04 0.00228284765035 0.00228284754035
14.54 0.04 0.0 0.0
14.58 0.04 0.0 0.0
14.62 0.04 0.0 0.0
14.66 0.04 0.00228284765035 0.00228284754035
14.7 0.04 0.0 0.0
14.74 0.04 0.0 0.0
14.78 0.04 0.0 0.0
14.82 0.04 0.00228284765035 0.00228284754035
14.86 0.04 0.00228284765035 0.00228284754035
14.9 0.04 0.0 0.0
14.94 0.04 0.0045656953007 0.0032284339524
14.98 0.04 0.0 0.0
15.02 0.04 0.00228284765035 0.00228284754035
15.06 0.04 0.0 0.0
15.1 0.04 0.00684854248539 0.00395400792583
15.14 0.04 0.00228284765035 0.00228284754035
15.18 0.04 0.0 0.0
15.22 0.04 0.0 0.0
15.26 0.04 0.0 0.0
15.3 0.04 0.0045656953007 0.0032284339524
15.34 0.04 0.0 0.0
15.38 0.04 0.0 0.0
15.42 0.04 0.0 0.0
15.46 0.04 0.00228284765035 0.00228284754035
15.5 0.04 0.00228284765035 0.00228284754035
15.54 0.04 0.0 0.0
15.58 0.04 0.00228284765035 0.00228284754035
15.62 0.04 0.00228284765035 0.00228284754035
15.66 0.04 0.00228284765035 0.00228284754035
15.7 0.04 0.0 0.0
15.74 0.04 0.00228284765035 0.00228284754035
15.78 0.04 0.00228284765035 0.00228284754035
15.82 0.04 0.00228284765035 0.00228284754035
15.86 0.04 0.0 0.0
15.9 0.04 0.0 0.0
15.94 0.04 0.00228284765035 0.00228284754035
15.98 0.04 0.0 0.0
16.02 0.04 0.0 0.0
16.06 0.04 0.00228284765035 0.00228284754035
16.1 0.04 0.00228284765035 0.00228284754035
16.14 0.04 0.0 0.0
16.18 0.04 0.00228284765035 0.00228284754035
16.22 0.04 0.0 0.0
16.26 0.04 0.0 0.0
16.3 0.04 0.0045656953007 0.0032284339524
16.34 0.04 0.00228284765035 0.00228284754035
16.38 0.04 0.0 0.0
16.42 0.04 0.0045656953007 0.0032284339524
16.46 0.04 0.00228284765035 0.00228284754035
16.5 0.04 0.0045656953007 0.0032284339524
16.54 0.04 0.00228284765035 0.00228284754035
16.58 0.04 0.00228284765035 0.00228284754035
16.62 0.04 0.00684854248539 0.00395400792583
16.66 0.04 0.0045656953007 0.0032284339524
16.7 0.04 0.0 0.0
16.74 0.04 0.00228284765035 0.00228284754035
16.78 0.04 0.00228284765035 0.00228284754035
16.82 0.04 0.0 0.0
16.86 0.04 0.0 0.0
16.9 0.04 0.00228284765035 0.00228284754035
16.94 0.04 0.0045656953007 0.0032284339524
16.98 0.04 0.00684854248539 0.00395400792583
17.02 0.04 0.00684854248539 0.00395400792583
17.06 0.04 0.0 0.0
17.1 0.04 0.0 0.0
17.14 0.04 0.0 0.0
17.18 0.04 0.0045656953007 0.0032284339524
17.22 0.04 0.0045656953007 0.0032284339524
17.26 0.04 0.00684854248539 0.00395400792583
17.3 0.04 0.0 0.0
17.34 0.04 0.0045656953007 0.0032284339524
17.38 0.04 0.0 0.0
17.42 0.04 0.0 0.0
17.46 0.04 0.00228284765035 0.00228284754035
17.5 0.04 0.00228284765035 0.00228284754035
17.54 0.04 0.00228284765035 0.00228284754035
17.58 0.04 0.0114142373204 0.0051046022825
17.62 0.04 0.0 0.0
17.66 0.04 0.00228284765035 0.00228284754035
17.7 0.04 0.00684854248539 0.00395400792583
17.74 0.04 0.00228284765035 0.00228284754035
17.78 0.04 0.0 0.0
17.82 0.04 0.0 0.0
17.86 0.04 0.0045656953007 0.0032284339524
17.9 0.04 0.0 0.0
17.94 0.04 0.00228284765035 0.00228284754035
17.98 0.04 0.00228284765035 0.00228284754035
18.02 0.04 0.0091313906014 0.00456569508071
18.06 0.04 0.00684854248539 0.00395400792583
18.1 0.04 0.0045656953007 0.0032284339524
18.14 0.04 0.0091313906014 0.00456569508071
18.18 0.04 0.00228284765035 0.00228284754035
18.22 0.04 0.0 0.0
18.26 0.04 0.0045656953007 0.0032284339524
18.3 0.04 0.0045656953007 0.0032284339524
18.34 0.04 0.0045656953007 0.0032284339524
18.38 0.04 0.00228284765035 0.00228284754035
18.42 0.04 0.00228284765035 0.00228284754035
18.46 0.04 0.0 0.0
18.5 0.04 0.0 0.0
18.54 0.04 0.0045656953007 0.0032284339524
18.58 0.04 0.00228284765035 0.00228284754035
18.62 0.04 0.0045656953007 0.0032284339524
18.66 0.04 0.0045656953007 0.0032284339524
18.7 0.04 0.0091313906014 0.00456569508071
18.74 0.04 0.0045656953007 0.0032284339524
18.78 0.04 2.81246805191 0.0801276234738
18.82 0.04 0.00684854248539 0.00395400792583
18.86 0.04 0.0 0.0
18.9 0.04 0.0 0.0
18.94 0.04 0.00228284765035 0.00228284754035
18.98 0.04 0.0 0.0
19.02 0.04 0.0 0.0
19.06 0.04 0.0 0.0
19.1 0.04 0.00228284765035 0.00228284754035
19.14 0.04 0.00228284765035 0.00228284754035
19.18 0.04 0.0045656953007 0.0032284339524
19.22 0.04 0.00228284765035 0.00228284754035
19.26 0.04 0.00684854248539 0.00395400792583
19.3 0.04 0.00228284765035 0.00228284754035
19.34 0.04 0.0 0.0
19.38 0.04 0.0 0.0
19.42 0.04 0.0 0.0
19.46 0.04 0.0 0.0
19.5 0.04 0.00228284765035 0.00228284754035
19.54 0.04 0.00228284765035 0.00228284754035
19.58 0.04 0.0 0.0
19.62 0.04 0.00228284765035 0.00228284754035
19.66 0.04 0.00684854248539 0.00395400792583
19.7 0.04 0.0 0.0
19.74 0.04 0.0 0.0
19.78 0.04 0.0 0.0
19.82 0.04 0.0 0.0
19.86 0.04 0.00228284765035 0.00228284754035
19.9 0.04 0.00228284765035 0.00228284754035
19.94 0.04 0.00228284765035 0.00228284754035
19.98 0.04 0.00228284765035 0.00228284754035
20.02 0.04 0.00684854248539 0.00395400792583
20.06 0.04 0.00228284765035 0.00228284754035
20.1 0.04 0.0045656953007 0.0032284339524
20.14 0.04 0.00684854248539 0.00395400792583
20.18 0.04 0.00228284765035 0.00228284754035
20.22 0.04 0.0045656953007 0.0032284339524
20.26 0.04 0.0045656953007 0.0032284339524
20.3 0.04 0.0091313906014 0.00456569508071
20.34 0.04 0.00228284765035 0.00228284754035
20.38 0.04 0.00228284765035 0.00228284754035
20.42 0.04 0.0 0.0
20.46 0.04 0.00228284765035 0.00228284754035
20.5 0.04 0.00228284765035 0.00228284754035
20.54 0.04 0.0 0.0
20.58 0.04 0.00228284765035 0.00228284754035
20.62 0.04 0.00228284765035 0.00228284754035
20.66 0.04 0.00228284765035 0.00228284754035
20.7 0.04 0.0045656953007 0.0032284339524
20.74 0.04 0.00228284765035 0.00228284754035
20.78 0.04 0.0091313906014 0.00456569508071
20.82 0.04 0.0 0.0
20.86 0.04 0.0 0.0
20.9 0.04 0.00684854248539 0.00395400792583
20.94 0.04 0.0 0.0
20.98 0.04 0.00228284765035 0.00228284754035
21.02 0.04 0.0365255624056 0.00913139016142
21.06 0.04 0.0 0.0
21.1 0.04 0.0 0.0
21.14 0.04 0.00228284765035 0.00228284754035
21.18 0.04 0.00228284765035 0.00228284754035
21.22 0.04 0.0045656953007 0.0032284339524
21.26 0.04 0.00684854248539 0.00395400792583
21.3 0.04 0.0 0.0
21.34 0.04 0.0114142373204 0.0051046022825
21.38 0.04 0.00228284765035 0.00228284754035
21.42 0.04 0.0 0.0
21.46 0.04 0.0045656953007 0.0032284339524
21.5 0.04 0.00228284765035 0.00228284754035
21.54 0.04 0.00684854248539 0.00395400792583
21.58 0.04 0.00228284765035 0.00228284754035
21.62 0.04 0.0045656953007 0.0032284339524
21.66 0.04 0.0045656953007 0.0032284339524
21.7 0.04 0.00228284765035 0.00228284754035
21.74 0.04 0.00228284765035 0.00228284754035
21.78 0.04 0.00684854248539 0.00395400792583
21.82 0.04 0.0 0.0
21.86 0.04 0.0 0.0
21.9 0.04 0.0 0.0
21.94 0.04 0.0045656953007 0.0032284339524
21.98 0.04 0.0045656953007 0.0032284339524
22.02 0.04 0.00228284765035 0.00228284754035
22.06 0.04 0.00228284765035 0.00228284754035
22.1 0.04 0.0 0.0
22.14 0.04 0.0 0.0
22.18 0.04 0.00228284765035 0.00228284754035
22.22 0.04 0.00228284765035 0.00228284754035
22.26 0.04 0.00228284765035 0.00228284754035
22.3 0.04 0.0 0.0
22.34 0.04 0.00228284765035 0.00228284754035
22.38 0.04 0.00228284765035 0.00228284754035
22.42 0.04 0.0 0.0
22.46 0.04 0.00228284765035 0.00228284754035
22.5 0.04 0.0 0.0
22.54 0.04 0.00228284765035 0.00228284754035
22.58 0.04 0.00684854248539 0.00395400792583
22.62 0.04 0.0 0.0
22.66 0.04 0.00228284765035 0.00228284754035
22.7 0.04 0.0 0.0
22.74 0.04 0.00228284765035 0.00228284754035
22.78 0.04 0.00684854248539 0.00395400792583
22.82 0.04 0.00228284765035 0.00228284754035
22.86 0.04 0.0 0.0
22.9 0.04 0.00228284765035 0.00228284754035
22.94 0.04 0.0045656953007 0.0032284339524
22.98 0.04 0.00228284765035 0.00228284754035
23.02 0.04 0.00228284765035 0.00228284754035
23.06 0.04 0.00684854248539 0.00395400792583
23.1 0.04 0.00228284765035 0.00228284754035
23.14 0.04 0.00228284765035 0.00228284754035
23.18 0.04 0.0045656953007 0.0032284339524
23.22 0.04 0.00228284765035 0.00228284754035
23.26 0.04 0.0091313906014 0.00456569508071
23.3 0.04 0.00228284765035 0.00228284754035
23.34 0.04 0.00684854248539 0.00395400792583
23.38 0.04 0.0 0.0
23.42 0.04 0.00228284765035 0.00228284754035
23.46 0.04 0.00684854248539 0.00395400792583
23.5 0.04 0.00228284765035 0.00228284754035
23.54 0.04 0.00228284765035 0.00228284754035
23.58 0.04 0.0 0.0
23.62 0.04 0.00228284765035 0.00228284754035
23.66 0.04 0.00684854248539 0.00395400792583
23.7 0.04 0.00228284765035 0.00228284754035
23.74 0.04 0.0045656953007 0.0032284339524
23.78 0.04 0.0045656953007 0.0032284339524
23.82 0.04 0.0045656953007 0.0032284339524
23.86 0.04 0.00228284765035 0.00228284754035
23.9 0.04 0.0114142373204 0.0051046022825
23.94 0.04 0.0 0.0
23.98 0.04 0.0045656953007 0.0032284339524
24.02 0.04 0.0114142373204 0.0051046022825
24.06 0.04 0.0045656953007 0.0032284339524
24.1 0.04 0.00684854248539 0.00395400792583
24.14 0.04 0.0 0.0
24.18 0.04 0.00684854248539 0.00395400792583
24.22 0.04 0.0114142373204 0.0051046022825
24.26 0.04 0.0 0.0
24.3 0.04 0.0045656953007 0.0032284339524
24.34 0.04 0.00228284765035 0.00228284754035
24.38 0.04 0.00684854248539 0.00395400792583
24.42 0.04 0.0045656953007 0.0032284339524
24.46 0.04 0.0045656953007 0.0032284339524
24.5 0.04 0.0045656953007 0.0032284339524
24.54 0.04 0.337861448526 0.0277720389617
24.58 0.04 0.166647866368 0.0195046579348
24.62 0.04 0.0091313906014 0.00456569508071
24.66 0.04 0.0045656953007 0.0032284339524
24.7 0.04 0.0045656953007 0.0032284339524
24.74 0.04 0.0136970849708 0.00559181163444
24.78 0.04 0.00684854248539 0.00395400792583
24.82 0.04 0.00228284765035 0.00228284754035
24.86 0.04 0.0136970849708 0.00559181163444
24.9 0.04 0.0091313906014 0.00456569508071
24.94 0.04 0.00684854248539 0.00395400792583
24.98 0.04 0.0091313906014 0.00456569508071
25.02 0.04 0.593540370464 0.0368098105408
25.06 0.04 0.0091313906014 0.00456569508071
25.1 0.04 0.0159799326211 0.00603984687285
25.14 0.04 0.0091313906014 0.00456569508071
25.18 0.04 0.0182627812028 0.0064568679048
25.22 0.04 0.0114142373204 0.0051046022825
25.26 0.04 0.972493052483 0.0471174423352
25.3 0.04 0.0136970849708 0.00559181163444
25.34 0.04 0.0091313906014 0.00456569508071
25.38 0.04 0.0091313906014 0.00456569508071
25.42 0.04 0.0045656953007 0.0032284339524
25.46 0.04 0.0159799326211 0.00603984687285
25.5 0.04 0.0091313906014 0.00456569508071
25.54 0.04 0.0114142373204 0.0051046022825
25.58 0.04 0.0045656953007 0.0032284339524
25.62 0.04 0.0045656953007 0.0032284339524
25.66 0.04 0.0136970849708 0.00559181163444
25.7 0.04 0.0114142373204 0.0051046022825
25.74 0.04 0.0182627812028 0.0064568679048
25.78 0.04 0.00684854248539 0.00395400792583
25.82 0.04 0.00684854248539 0.00395400792583
25.86 0.04 0.0114142373204 0.0051046022825
25.9 0.04 0.0114142373204 0.0051046022825
25.94 0.04 0.0114142373204 0.0051046022825
25.98 0.04 0.0182627812028 0.0064568679048
26.02 0.04 0.0159799326211 0.00603984687285
26.06 0.04 0.0 0.0
26.1 0.04 0.0114142373204 0.0051046022825
26.14 0.04 0.0091313906014 0.00456569508071
26.18 0.04 0.0182627812028 0.0064568679048
26.22 0.04 0.00684854248539 0.00395400792583
26.26 0.04 0.0136970849708 0.00559181163444
26.3 0.04 0.00684854248539 0.00395400792583
26.34 0.04 0.0091313906014 0.00456569508071
26.38 0.04 0.0159799326211 0.00603984687285
26.42 0.04 0.0228284746408 0.00721899777843
26.46 0.04 0.00684854248539 0.00395400792583
26.5 0.04 0.0136970849708 0.00559181163444
26.54 0.04 20.0456848145 0.213918771942
26.58 0.04 0.00228284765035 0.00228284754035
26.62 0.04 0.0 0.0
26.66 0.04 0.00228284765035 0.00228284754035
26.7 0.04 0.0 0.0
26.74 0.04 0.00684854248539 0.00395400792583
26.78 0.04 0.00228284765035 0.00228284754035
26.82 0.04 0.0 0.0
26.86 0.04 0.00228284765035 0.00228284754035
26.9 0.04 0.00228284765035 0.00228284754035
26.94 0.04 0.0 0.0
26.98 0.04 0.0 0.0
27.02 0.04 0.00228284765035 0.00228284754035
27.06 0.04 0.00228284765035 0.00228284754035
27.1 0.04 0.0045656953007 0.0032284339524
27.14 0.04 0.00228284765035 0.00228284754035
27.18 0.04 0.0 0.0
27.22 0.04 0.0 0.0
27.26 0.04 0.0 0.0
27.3 0.04 0.0 0.0
27.34 0.04 0.0045656953007 0.0032284339524
27.38 0.04 0.00684854248539 0.00395400792583
27.42 0.04 0.0 0.0
27.46 0.04 0.00228284765035 0.00228284754035
27.5 0.04 0.00228284765035 0.00228284754035
27.54 0.04 0.00228284765035 0.00228284754035
27.58 0.04 0.0 0.0
27.62 0.04 0.0045656953007 0.0032284339524
